City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Baruun-Urt,MN,2021-09-24 15:28:24,46.6806,113.2792,51.22,93,0,10.47
68,Vawkavysk,BY,2021-09-24 15:28:24,53.1561,24.4513,53.29,80,100,18.41
69,Longyearbyen,SJ,2021-09-24 15:28:25,78.2186,15.6401,46.24,71,75,8.05
70,Bathsheba,BB,2021-09-24 15:28:25,13.2167,-59.5167,90.21,62,40,11.5
71,Saskylakh,RU,2021-09-24 15:28:26,71.9167,114.0833,33.49,89,100,7.74
72,Airai,TL,2021-09-24 15:28:26,-8.9266,125.4092,59.02,79,90,0.85
73,Dodge City,US,2021-09-24 15:28:26,37.7528,-100.0171,69.94,48,1,0.0
74,Cap Malheureux,MU,2021-09-24 15:28:27,-19.9842,57.6142,72.46,73,0,11.99
75,Talaya,RU,2021-09-24 15:28:27,61.3833,152.75,31.57,86,6,3.47
76,Lompoc,US,2021-09-24 15:28:27,34.6391,-120.4579,57.31,97,90,0.0
77,Kasongo-Lunda,CD,2021-09-24 15:28:28,-6.4667,16.8167,88.3,42,100,7.16
78,Yangjiang,CN,2021-09-24 15:28:28,21.85,111.9667,78.08,90,18,6.51
79,Kodiak,US,2021-09-24 15:28:29,57.79,-152.4072,42.31,42,1,28.77
80,Chupa,RU,2021-09-24 15:28:29,66.27,33.0549,46.29,95,100,6.58
81,New Norfolk,AU,2021-09-24 15:28:29,-42.7826,147.0587,39.7,65,70,5.01
82,Kikwit,CD,2021-09-24 15:28:30,-5.041,18.8162,92.62,31,93,6.4
83,Sehithwa,BW,2021-09-24 15:28:30,-20.4667,22.7167,94.1,11,0,9.91
84,Bubaque,GW,2021-09-24 15:28:30,11.2833,-15.8333,82.29,72,73,4.94
85,Tobol,KZ,2021-09-24 15:28:31,52.6844,62.5794,48.29,39,78,7.63
86,Grande Prairie,CA,2021-09-24 15:28:31,55.1667,-118.8027,44.78,87,75,2.3
87,Deputatskiy,RU,2021-09-24 15:28:31,69.3,139.9,26.38,86,48,5.14
88,Chumikan,RU,2021-09-24 15:28:32,54.7183,135.315,50.58,68,13,17.4
89,Mildura,AU,2021-09-24 15:28:32,-34.2,142.15,46.36,76,0,5.75
90,Chuy,UY,2021-09-24 15:28:32,-33.6971,-53.4616,62.92,69,0,10.49
